127.8700 -7.5100 21-Dec-2016
127.8700 -7.5100 21-Dec-2016
-71.3800 -31.7300 21-Sep-2015
-72.0100 -29.5100 11-Nov-2015
100.5700 -2.2100 01-Jun-2016
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
108.1600 -4.8600 19-Oct-2016
-71.3800 -31.7300 21-Sep-2015
124.8800 -8.3400 04-Nov-2015
-72.0100 -29.5100 11-Nov-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
129.5100 -4.1100 09-Dec-2015
100.5700 -2.2100 01-Jun-2016
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
119.4000 -9.6300 12-Feb-2016
173.1200 -22.4800 12-Aug-2016
-178.2400 -19.7800 24-Sep-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
-71.6700 -31.5700 16-Sep-2015
-71.4600 -30.8900 07-Nov-2015
94.6500 6.8400 08-Nov-2015
-70.9000 -10.5500 24-Nov-2015
100.5700 -2.2100 01-Jun-2016
173.1200 -22.4800 12-Aug-2016
-73.5700 -14.6000 24-Aug-2014
122.5400 -7.3000 27-Feb-2015
122.5400 -7.3000 27-Feb-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
124.8800 -8.3400 04-Nov-2015
-71.4600 -30.8900 07-Nov-2015
94.6500 6.8400 08-Nov-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
100.5700 -2.2100 01-Jun-2016
108.1600 -4.8600 19-Oct-2016
173.0800 -42.7600 13-Nov-2016
127.8700 -7.5100 21-Dec-2016
122.5400 -7.3000 27-Feb-2015
-71.6700 -31.5700 16-Sep-2015
-71.3800 -31.7300 21-Sep-2015
124.8800 -8.3400 04-Nov-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
100.5700 -2.2100 01-Jun-2016
-17.8300 -0.0500 29-Aug-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
125.6200 -4.5800 05-Jun-2016
122.4300 -7.2900 23-Aug-2016
129.5100 -4.1100 09-Dec-2015
-178.1600 -22.0200 28-May-2016
100.5700 -2.2100 01-Jun-2016
-178.2400 -19.7800 24-Sep-2016
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
176.0500 -19.3300 03-Jan-2017
-71.4600 -30.8900 07-Nov-2015
-72.0100 -29.5100 11-Nov-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
94.3300 -4.9500 02-Mar-2016
173.0800 -42.7600 13-Nov-2016
127.8700 -7.5100 21-Dec-2016
-71.4600 -30.8900 07-Nov-2015
-72.0100 -29.5100 11-Nov-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
129.5100 -4.1100 09-Dec-2015
100.5700 -2.2100 01-Jun-2016
173.1200 -22.4800 12-Aug-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
179.6000 -24.0900 17-Jun-2017
-71.6700 -31.5700 16-Sep-2015
-71.3800 -31.7300 21-Sep-2015
124.8800 -8.3400 04-Nov-2015
-71.2600 -9.1800 26-Nov-2015
100.5700 -2.2100 01-Jun-2016
173.1200 -22.4800 12-Aug-2016
108.1600 -4.8600 19-Oct-2016
-72.0100 -29.5100 11-Nov-2015
129.5100 -4.1100 09-Dec-2015
94.3300 -4.9500 02-Mar-2016
100.5700 -2.2100 01-Jun-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
-73.8800 -43.4200 25-Dec-2016
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
119.4000 -9.6300 12-Feb-2016
173.1200 -22.4800 12-Aug-2016
173.0800 -42.7600 13-Nov-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
-27.2300 -55.6200 19-Apr-2016
-178.6700 -20.8300 27-May-2016
-177.6700 -30.1200 23-Jun-2014
-73.5700 -14.6000 24-Aug-2014
-71.3800 -31.7300 21-Sep-2015
-178.1600 -22.0200 28-May-2016
173.1200 -22.4800 12-Aug-2016
108.1600 -4.8600 19-Oct-2016
173.0800 -42.7600 13-Nov-2016
127.8700 -7.5100 21-Dec-2016
-73.8800 -43.4200 25-Dec-2016
-178.8000 -23.2600 24-Feb-2017
-71.0200 -10.0500 24-Nov-2015
-73.5700 -14.6000 24-Aug-2014
179.6600 -37.6500 16-Nov-2014
122.5400 -7.3000 27-Feb-2015
-71.3800 -31.7300 21-Sep-2015
94.6500 6.8400 08-Nov-2015
-71.0200 -10.0500 24-Nov-2015
-72.0100 -29.5100 11-Nov-2015
-71.2600 -9.1800 26-Nov-2015
100.5700 -2.2100 01-Jun-2016
173.0800 -42.7600 13-Nov-2016
127.8700 -7.5100 21-Dec-2016
-71.3800 -31.7300 21-Sep-2015
94.6500 6.8400 08-Nov-2015
-71.2600 -9.1800 26-Nov-2015
100.5700 -2.2100 01-Jun-2016
179.1500 -37.3600 01-Sep-2016
173.0800 -42.7600 13-Nov-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
-73.8800 -43.4200 25-Dec-2016
119.4000 -9.6300 12-Feb-2016
-73.5700 -14.6000 24-Aug-2014
-110.8100 -32.1100 09-Oct-2014
124.8800 -8.3400 04-Nov-2015
-71.4600 -30.8900 07-Nov-2015
-71.2600 -9.1800 26-Nov-2015
179.1500 -37.3600 01-Sep-2016
127.8700 -7.5100 21-Dec-2016
-73.8800 -43.4200 25-Dec-2016
94.6500 6.8400 08-Nov-2015
-71.0200 -10.0500 24-Nov-2015
129.5100 -4.1100 09-Dec-2015
100.5700 -2.2100 01-Jun-2016
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
-73.8800 -43.4200 25-Dec-2016
122.4300 -7.2900 23-Aug-2016
173.1200 -22.4800 12-Aug-2016
127.8700 -7.5100 21-Dec-2016
-73.8800 -43.4200 25-Dec-2016
122.5700 4.4600 10-Jan-2017
-178.8000 -23.2600 24-Feb-2017
124.8800 -8.3400 04-Nov-2015
-71.0200 -10.0500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
100.5700 -2.2100 01-Jun-2016
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
-73.8800 -43.4200 25-Dec-2016
101.6200 -3.7700 13-Aug-2017
123.0700 -7.2200 24-Oct-2017
100.5700 -2.2100 01-Jun-2016
127.8700 -7.5100 21-Dec-2016
-132.1600 -54.3300 19-May-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
100.5700 -2.2100 01-Jun-2016
-17.8300 -0.0500 29-Aug-2016
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
100.5700 -2.2100 01-Jun-2016
-17.8300 -0.0500 29-Aug-2016
-110.8100 -32.1100 09-Oct-2014
122.5400 -7.3000 27-Feb-2015
124.8800 -8.3400 04-Nov-2015
-72.0100 -29.5100 11-Nov-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
129.5100 -4.1100 09-Dec-2015
100.5700 -2.2100 01-Jun-2016
179.1500 -37.3600 01-Sep-2016
127.8700 -7.5100 21-Dec-2016
-70.9000 -10.5500 24-Nov-2015
129.5100 -4.1100 09-Dec-2015
96.1100 5.2800 06-Dec-2016
169.0300 -18.9000 20-Jul-2016
108.1600 -4.8600 19-Oct-2016
-71.3800 -31.7300 21-Sep-2015
-71.4600 -30.8900 07-Nov-2015
-71.0200 -10.0500 24-Nov-2015
129.5100 -4.1100 09-Dec-2015
100.5700 -2.2100 01-Jun-2016
127.8700 -7.5100 21-Dec-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
100.5700 -2.2100 01-Jun-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
122.5700 4.4600 10-Jan-2017
-70.5600 -20.2700 03-Apr-2014
179.0800 -24.6400 04-May-2014
-73.5700 -14.6000 24-Aug-2014
122.5400 -7.3000 27-Feb-2015
-71.3800 -31.7300 21-Sep-2015
-72.0100 -29.5100 11-Nov-2015
-71.0200 -10.0500 24-Nov-2015
-66.6900 -23.1100 11-Feb-2015
122.5400 -7.3000 27-Feb-2015
-72.0100 -29.5100 11-Nov-2015
-71.2600 -9.1800 26-Nov-2015
100.5700 -3.2500 06-Jul-2013
179.0800 -24.6400 04-May-2014
-177.6400 -30.0200 23-Jun-2014
-71.3800 -31.7300 21-Sep-2015
-66.6900 -23.1100 11-Feb-2015
122.5400 -7.3000 27-Feb-2015
